ID,Project Status,Building Name,Planning Approval Street Number,Planning Approval Street Name,Mapping Address,Section 415 Declaration of Intent,Tenure,Total Units in Building or Phase,Total Units Subject to Section 415,Total BMRs in this Building or Phase,Total BMRs On-Site,Total BMRs Off-Site,Off-Site Units at this Site,Principal Project Address,Off-Site Address,Planning Approval Date,Completion Date,Neighborhood,Planning Neighborhood,Supervisor District,Plan Area,Location
100,Completed,Union,2101,Bryant Street,"2101 Bryant St, San Francisco, CA, 94110",On-site BMR Project ,Ownership,76,76,9,9,0,0,,,09/18/2003,11/24/2009,Mission,Mission,10,Mission (Eastern Neighborhoods),"2101 Bryant St
San Francisco, CA 94110
(37.760476, -122.409987)"
135,Completed,1598 Dolores,1598,Dolores Street,"1598 Dolores St, San Francisco, CA, 94131",On-site BMR Project ,Ownership,13,13,1,1,0,0,,,02/17/2005,01/01/2004,Noe Valley,Noe Valley,8,,"1598 Dolores St
San Francisco, CA 94131
(37.744037, -122.424489)"
355,Entitled/Approved,"925 Mission - """"M-2 Site""""","939, 941, 949",Mission Street,"939 Mission St, San Francisco, CA, 94103",On-site BMR Project ,Rental,288,288,58,58,0,0,,,09/17/2015,,South of Market,South of Market,6,Downtown,"939 Mission St
San Francisco, CA 94103
(37.782102, -122.407288)"
137,Completed,30 Dore Street ,30,Dore Street ,"30 Dore St, San Francisco, CA, 94103",On-site BMR Project ,Rental,42,42,4,4,0,0,,,02/24/2005,07/24/2007,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"30 Dore St
San Francisco, CA 94103
(37.774126, -122.413271)"
200,Completed,248 Ocean Avenue ,248,Ocean Avenue,"248 Ocean Ave, San Francisco, CA, 94112",Fee Payment ,Rental,5,5,0,0,0,0,,,05/19/2008,07/24/2012,Outer Mission,Outer Mission,11,,"248 Ocean Ave
San Francisco, CA 94112
(37.723221, -122.442042)"
383,Entitled/Approved,Oceanwide Center,40,01st Street,"40 1st St, San Francisco, CA 94105",Fee Payment ,Unknown,265,265,0,0,0,0,,,05/05/2016,,Financial District,Financial District,6,Downtown,"40 1st St
San Francisco, CA 94105
(37.790396, -122.398335)"
337,Entitled/Approved,Schlage Project,0,Schlage Project,"2453 Bay Shore Blvd, San Francisco, CA, 94134",Combination Project,Unknown,1679,1679,168,168,0,0,,,09/02/2014,,Bayview Hunters Point,Visitacion Valley,10,Schlage Lock,"2453 Bay Shore Blvd
San Francisco, CA 94134
(37.710572, -122.403995)"
266,Completed,1875 Mission Street,1875,Mission Street,"1875 Mission St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,39,39,6,6,0,0,,,05/09/2012,01/13/2015,Mission,Mission,9,Mission (Eastern Neighborhoods),"1875 Mission St
San Francisco, CA 94103
(37.767055, -122.419859)"
271,Completed,8 Octavia,20-Apr,Octavia Blvd,"4 Octavia St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,47,47,7,7,0,0,,,09/06/2012,10/01/2014,Hayes Valley,Mission,5,Market and Octavia,"4 Octavia St
San Francisco, CA 94102
(37.772495, -122.423536)"
50,Completed,745 Clement ,741,Clement Street,"741 Clement St, San Francisco, CA, 94118",On-site BMR Project ,Ownership,14,14,1,1,0,0,,,08/02/2000,01/01/2004,Inner Richmond,Inner Richmond,1,,"741 Clement St
San Francisco, CA 94118
(37.782825, -122.467331)"
146,Completed,Candlestick Cove,101,Executive Park,"101 Executive Park Blvd, San Francisco, CA, 94134",On-site BMR Project ,Ownership,150,150,18,18,0,0,,,06/16/2005,01/01/2008,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"101 Executive Park Blvd
San Francisco, CA 94134
(37.711032, -122.394848)"
351,Entitled/Approved,361 Turk,361,Turk Street,"361 Turk St, San Francisco, CA, 94102",On-site BMR Project ,Rental ,137,137,16,16,0,0,,,07/09/2015,,Tenderloin,Downtown/Civic Center,6,,"361 Turk St
San Francisco, CA 94102
(37.78266, -122.415111)"
390,Entitled/Approved,540 De Haro St,540,De Haro Street,"540 De Haro St, San Francisco, CA 94107",Fee Payment,Unknown,16,16,0,0,0,0,,,06/02/2016,,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"540 De Haro St
San Francisco, CA 94107
(37.762927, -122.401432)"
177,First Construction Document Issued,"Trinity Plaza Apartments, Phase III",1167,Market Street,"1167 Market St, San Francisco, CA, 94103",On-site BMR Project ,Rental,550,550,83,83,0,0,,,08/03/2006,,South of Market,South of Market,6,Downtown,"1167 Market St
San Francisco, CA 94103
(37.779444, -122.413831)"
3,Completed,18th & Arkansas ,300,Arkansas Street,"300 Arkansas St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,61,61,6,6,0,0,,,04/11/1991,01/01/1994,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"300 Arkansas St
San Francisco, CA 94107
(37.762474, -122.398463)"
283,First Construction Document Issued,801 Brannan,801,Brannan Street,"801 Brannan St, San Francisco, CA, 94103",On-site BMR Project ,Rental,432,432,55,55,0,0,,,01/31/2013,,South of Market,South of Market,6,Showplace Square/Potrero Hill (Eastern Neighborhoods),"801 Brannan St
San Francisco, CA 94103
(37.773044, -122.403233)"
90,Completed,Valencia 270,270-284 ,Valencia Street (aka 17 Brosnan St),"270 Valencia St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,28,28,3,3,0,0,,,05/15/2003,02/02/2006,Mission,Mission,8,Market and Octavia,"270 Valencia St
San Francisco, CA 94103
(37.768564, -122.422251)"
215,Building Permit Issued,180 Jones Street / 181 Turk Street,180,Jones Street,"180 Jones St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,37,37,4,4,0,0,,,03/05/2009,,Tenderloin,Downtown/Civic Center,6,,"180 Jones St
San Francisco, CA 94102
(37.782881, -122.412397)"
375,Entitled/Approved,655 Folsom,655,Folsom Street,"655 Folsom St, San Francisco, CA 94107",Fee Payment ,Unknown,89,89,0,0,0,0,,,03/10/2016,,Financial District,South of Market,6,Central SoMa,"655 Folsom St
San Francisco, CA 94107
(37.784579, -122.397937)"
274,First Construction Document Issued,5800 Third Street - Building 3 ,5800,03rd Street,"5800 3rd St, San Francisco, CA, 94124",On-site BMR Project ,Ownership,150,150,23,23,0,0,,,10/25/2012,,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"5800 3rd St
San Francisco, CA 94124
(37.724844, -122.394658)"
187,Completed,"NEMA, Phase II (North Tower)",1407-1435,Market Street,"1407 Market St, San Francisco, CA, 94103",On-site BMR Project ,Rental,437,437,52,52,0,0,,,04/05/2007,03/13/2014,South of Market,South of Market,6,Downtown,"1407 Market St
San Francisco, CA 94103
(37.776439, -122.417647)"
324,First Construction Document Issued,3420 18th Street,3420,18th Street,"3420 18th St, San Francisco, CA, 94110",Fee Payment ,Unknown,16,16,0,0,0,0,,,12/16/2014,,Mission,Mission,9,Mission (Eastern Neighborhoods),"3420 18th St
San Francisco, CA 94110
(37.761794, -122.419973)"
136,Completed,470 Clementina,470,Clementina Street,"470 Clementina St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,12,12,1,1,0,0,,,02/23/2005,06/09/2005,South of Market,South of Market,6,Central SoMa,"470 Clementina St
San Francisco, CA 94103
(37.779448, -122.405546)"
70,Completed,638 19th Street,638,19th Street,"638 19th St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,18,18,2,2,0,0,,,05/02/2002,03/26/2010,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"638 19th St
San Francisco, CA 94107
(37.761755, -122.38898)"
253,Completed,2421 16th Street,2401,16th Street,"2401 16th St, San Francisco, CA, 94110",On-site BMR Project ,Ownership,12,12,1,1,0,0,,,04/21/2011,10/01/2014,Mission,Mission,9,Mission (Eastern Neighborhoods),"2401 16th St
San Francisco, CA 94110
(37.765589, -122.410789)"
58,Completed,6901 Geary Street,6901,Geary Blvd. (aka 501 33rd Avenue),"6901 Geary Blvd, San Francisco, CA, 94121",On-site BMR Project ,Rental,15,15,2,2,0,0,,,10/04/2001,04/14/2006,Outer Richmond,Outer Richmond,1,,"6901 Geary Blvd
San Francisco, CA 94121
(37.779637, -122.493624)"
87,Completed,Watermark,501,Beale Street,"501 Beale St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,135,135,16,16,0,0,,,05/01/2003,01/01/2006,Financial District,South of Market,6,East SoMa (Eastern Neighborhoods),"501 Beale St
San Francisco, CA 94105
(37.785922, -122.389295)"
145,Completed,Candlestick Cove - Building B,NA,Executive Park â€“St. Francis Bay Phase III,"101 Executive Park Blvd, San Francisco, CA, 94134",Fee Payment ,Unknown,98,98,0,0,0,0,,,06/16/2005,09/01/2009,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"101 Executive Park Blvd
San Francisco, CA 94134
(37.711032, -122.394848)"
73,Completed,2545 Judah Street (AKA 1408 31st) ,2545,Judah Street,"2545 Judah St, San Francisco, CA, 94122",On-site BMR Project ,Rental,13,13,2,2,0,0,,,10/17/2002,02/22/2008,Sunset/Parkside,Outer Sunset,4,,"2545 Judah St
San Francisco, CA 94122
(37.761156, -122.48952)"
310,First Construction Document Issued,2051 3rd Street,2051,03rd Street,"2051 3rd St, San Francisco, CA, 94107",On-site BMR Project ,Rental,93,93,12,12,0,0,,,06/05/2014,,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"2051 3rd St
San Francisco, CA 94107
(37.763769, -122.388719)"
377,Entitled/Approved,430 Eddy,430,Eddy Street,"430 Eddy St, San Francisco, CA 94109",On-site BMR Project ,Ownership,23,23,3,3,0,0,,,03/17/2016,,Tenderloin,Downtown/Civic Center,6,,"430 Eddy St
San Francisco, CA 94109
(37.78366, -122.4148)"
31,Completed,70 Ocean,98,Ocean Avenue,"98 Ocean Ave, San Francisco, CA, 94112",On-site BMR Project ,Rental,20,20,2,2,0,0,,,03/12/1998,01/01/2000,Outer Mission,Outer Mission,11,,"98 Ocean Ave
San Francisco, CA 94112
(37.723631, -122.438429)"
322,Entitled/Approved,Ritz Carlton,690,Market Street,"690 Market St, San Francisco, CA, 94104",Fee Payment ,Ownership,19,19,0,0,0,0,,,11/13/2014,,Financial District,Financial District,3,Downtown,"690 Market St
San Francisco, CA 94104
(37.787985, -122.403027)"
361,Entitled/Approved,1075 Market,1075,Market Street,"1075 Market St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,90,90,11,11,0,0,,,10/22/2015,,South of Market,South of Market,6,Downtown,"1075 Market St
San Francisco, CA 94103
(37.78099, -122.411884)"
295,First Construction Document Issued,480 Potrero,480,Potrero,"480 Potrero Ave, San Francisco, CA, 94110",On-site BMR Project ,Rental,75,75,11,11,0,0,,,08/08/2013,,Mission,Mission,10,Mission (Eastern Neighborhoods),"480 Potrero Ave
San Francisco, CA 94110
(37.763511, -122.407335)"
64,Completed,The Redstone,1450,Greenwich Street,"1450 Greenwich St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,24,24,4,4,0,0,,,01/01/2002,01/01/2004,Russian Hill,Russian Hill,2,,"1450 Greenwich St
San Francisco, CA 94109
(37.800536, -122.42353)"
360,Entitled/Approved,363 6th,363,06th Street,"363 6th St, San Francisco, CA, 94107",On-site BMR Project ,Rental ,104,104,12,12,0,0,,,10/15/2015,,South of Market,South of Market,6,Central SoMa,"363 6th St
San Francisco, CA 94107
(37.777756, -122.404683)"
149,Completed,1158 Sutter Street,1158,Sutter Street,"1158 Sutter St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,14,14,2,2,0,0,,,06/24/2005,06/25/2008,Nob Hill,Downtown/Civic Center,3,,"1158 Sutter St
San Francisco, CA 94109
(37.78783, -122.419556)"
12,Completed,Villa North Beach,690,Chestnut Street,"690 Chestnut St, San Francisco, CA, 94133",On-site BMR Project ,Ownership,117,117,4,4,0,0,,,10/06/1994,01/01/1997,North Beach,North Beach,3,,"690 Chestnut St
San Francisco, CA 94133
(37.803599, -122.414521)"
342,Entitled/Approved,1000 Mississippi Street,1000,Mississippi Street,"1000 Mississippi St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,28,28,3,3,0,0,,,05/14/2015,,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1000 Mississippi St
San Francisco, CA 94107
(37.75249, -122.393612)"
199,Completed,1285 Sutter Street,1285,Sutter Street,"1285 Sutter St, San Francisco, CA, 94109",Fee Payment ,Unknown,107,107,0,0,0,0,,,05/15/2008,09/30/2013,Nob Hill,Downtown/Civic Center,3,Van Ness Corridor,"1285 Sutter St
San Francisco, CA 94109
(37.787619, -122.421222)"
309,Entitled/Approved,1433 Bush Street,1433,Bush Street ,"1433 Bush St, San Francisco, CA, 94109",Fee Payment ,Unknown,32,32,0,0,0,0,,,05/22/2014,,Nob Hill,Downtown/Civic Center,3,Van Ness Corridor,"1433 Bush St
San Francisco, CA 94109
(37.788628, -122.420871)"
159,Completed,Artani,818,Van Ness Avenue,"818 Van Ness Ave, San Francisco, CA, 94109",Combination Project,Ownership,52,52,2,2,0,0,,,10/27/2005,11/10/2008,Tenderloin,Downtown/Civic Center,6,Van Ness Corridor,"818 Van Ness Ave
San Francisco, CA 94109
(37.783174, -122.420804)"
313,Entitled/Approved,325 Fremont,325,Fremont Street ,"325 Fremont St, San Francisco, CA, 94105",Fee Payment ,Unknown,118,118,0,0,0,0,,,07/17/2014,,Financial District,South of Market,6,Rincon Hill,"325 Fremont St
San Francisco, CA 94105
(37.787583, -122.393098)"
110,Completed,Garfield Building,938-942,Market Street,"938 Market St, San Francisco, CA, 94102",Units for Off-site Project with On-site Obligation,Ownership,28,17,13,2,0,11,690 Market Street (Ritz Carlton),,06/03/2004,12/13/2007,South of Market,Downtown/Civic Center,6,Downtown,"938 Market St
San Francisco, CA 94102
(37.783544, -122.408647)"
93,Completed,The Palms,555-557,04th Street,"555 4th St, San Francisco, CA, 94107",Off-site BMR Project,Ownership,300,300,0,0,56,0,,785 Brannan Street (56 rental units),07/10/2003,11/08/2007,South of Market,South of Market,6,Central SoMa,"555 4th St
San Francisco, CA 94107
(37.778835, -122.397152)"
346,Entitled/Approved,750 Harrison,750,Harrison Street,"750 Harrison St, San Francisco, CA, 94107",On-site BMR Project ,Rental,77,77,9,9,0,0,,,06/04/2015,,South of Market,South of Market,6,Central SoMa,"750 Harrison St
San Francisco, CA 94107
(37.781614, -122.398584)"
250,Completed,3418 26th Street,3418,26th Street,"3418 26th St, San Francisco, CA, 94110",Fee Payment ,Rental,11,11,0,0,0,0,,,02/28/2011,06/30/2014,Mission,Mission,9,Mission (Eastern Neighborhoods),"3418 26th St
San Francisco, CA 94110
(37.748995, -122.41897)"
105,Completed,888 Paris ,965-985,Geneva Avenue ,"965 Geneva Ave, San Francisco, CA, 94112",On-site BMR Project ,Rental,67,67,8,8,0,0,,,12/09/2003,01/01/2004,Excelsior,Excelsior,11,,"965 Geneva Ave
San Francisco, CA 94112
(37.71587, -122.439822)"
202,Completed,901 Bush Street,901,Bush Street ,"901 Bush St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,38,38,5,5,0,0,,,06/12/2008,12/31/2008,Nob Hill,Downtown/Civic Center,3,,"901 Bush St
San Francisco, CA 94102
(37.789719, -122.412298)"
298,First Construction Document Issued,555 Fulton Street,555,Fulton Street,"555 Fulton St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,139,139,17,17,0,0,,,10/03/2013,,Hayes Valley,Western Addition,5,Market and Octavia,"555 Fulton St
San Francisco, CA 94102
(37.778444, -122.425744)"
272,First Construction Document Issued,1050 Valencia Street,1050-1058,Valencia Street,"1050 Valencia St, San Francisco, CA, 94110",Fee Payment ,Ownership,12,12,0,0,0,0,,,09/06/2012,,Mission,Mission,8,Mission (Eastern Neighborhoods),"1050 Valencia St
San Francisco, CA 94110
(37.755965, -122.421035)"
8,Completed,The Bouganvillea,5810,Mission Street,"5810 Mission St, San Francisco, CA, 94112",On-site BMR Project ,Ownership,27,27,3,3,0,0,,,05/07/1992,05/07/1998,Outer Mission,Outer Mission,11,,"5810 Mission St
San Francisco, CA 94112
(37.709184, -122.451578)"
379,Entitled/Approved,22 Franklin,22,Franklin Street,"22 Franklin St, San Francisco, CA 94102",On-site BMR Project ,Rental,35,35,4,4,0,0,,,03/31/2016,,Hayes Valley,Downtown/Civic Center,5,Downtown,"22 Franklin St
San Francisco, CA 94102
(37.774677, -122.420854)"
122,Completed,1 South Park ,1,South Park Avenue ,"1 South Park, San Francisco, CA, 94107",Fee Payment ,Ownership,35,35,0,0,0,0,,,09/23/2004,01/01/2008,Financial District,South of Market,6,Central SoMa,"1 South Park
San Francisco, CA 94107
(37.782318, -122.393034)"
84,Completed,888 7th Street,601,King Street ,"601 King St, San Francisco, CA, 94107",Units for Off-site Project with On-site Obligation,Ownership,224,224,170,27,0,143,300 Spear Street (Infinity) ,,03/13/2003,07/11/2008,Mission Bay,South of Market,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"601 King St
San Francisco, CA 94107
(37.770636, -122.401418)"
389,Entitled/Approved,469 Eddy St,469,Eddy Street,"469 Eddy St, San Francisco, CA 94102",On-site BMR Project,Ownership,28,28,3,3,0,0,,,05/12/2016,,Tenderloin,Downtown/Civic Center,6,,"469 Eddy St
San Francisco, CA 94102
(37.783589, -122.415365)"
57,Completed,Argenta,1,Polk Street,"1 Polk St, San Francisco, CA, 94102",On-site BMR Project ,Rental,179,179,9,9,0,0,,,07/12/2001,08/21/2008,Tenderloin,South of Market,6,Downtown,"1 Polk St
San Francisco, CA 94102
(37.77682, -122.417896)"
291,First Construction Document Issued,1490 Ocean ,1490,Ocean Avenue,"1490 Ocean Ave, San Francisco, CA, 94112",Fee Payment ,Unknown,13,13,0,0,0,0,,,06/06/2013,,West of Twin Peaks,West of Twin Peaks,7,Balboa Park,"1490 Ocean Ave
San Francisco, CA 94112
(37.724255, -122.457938)"
79,Completed,4343 3rd Street ,4343,03rd Street,"4343 3rd St, San Francisco, CA, 94124",On-site BMR Project ,Ownership,16,16,2,2,0,0,,,01/01/2003,01/19/2007,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"4343 3rd St
San Francisco, CA 94124
(37.738174, -122.389422)"
236,Completed,"Onyx, Phase II",1717,17th Street ,"1717 17th St, San Francisco, CA, 94107",Fee Payment ,Ownership,21,21,0,0,0,0,,,07/15/2010,11/09/2015,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1717 17th St
San Francisco, CA 94107
(37.764919, -122.401076)"
166,Completed,1 Hawthorne,1,Hawthorne Street ,"1 Hawthorne St, San Francisco, CA, 94105",Fee Payment ,Ownership,165,165,0,0,0,0,,,03/23/2006,01/01/2010,Financial District,Financial District,6,Downtown,"1 Hawthorne St
San Francisco, CA 94105
(37.785608, -122.399007)"
323,First Construction Document Issued,1450 15th Street,1450,15th Street,"1450 15th St, San Francisco, CA, 94103",Fee Payment ,Unknown,23,23,0,0,0,0,,,12/11/2014,,Mission,Mission,9,Mission (Eastern Neighborhoods),"1450 15th St
San Francisco, CA 94103
(37.76686, -122.416875)"
299,First Construction Document Issued,2353 Lombard Street,2353,Lombard Street ,"2353 Lombard St, San Francisco, CA, 94123",Fee Payment ,Unknown,21,21,0,0,0,0,,,12/19/2013,,Marina,Marina,2,,"2353 Lombard St
San Francisco, CA 94123
(37.799268, -122.440184)"
225,Completed,Lumina,201,Folsom Street,"201 Folsom St, San Francisco, CA, 94105",Off-site BMR Project,Ownership,655,655,0,0,164,0,,1400 Mission Street (164 of 190 ownership units) ,09/03/2009,06/11/2015,Financial District,South of Market,6,Rincon Hill,"201 Folsom St
San Francisco, CA 94105
(37.789122, -122.392198)"
357,Entitled/Approved,1198 Valencia,1198,Valencia Street,"1198 Valencia St, San Francisco, CA, 94110",On-site BMR Project ,Ownership,49,49,6,6,0,0,,,10/01/2015,,Mission,Mission,8,Mission (Eastern Neighborhoods),"1198 Valencia St
San Francisco, CA 94110
(37.753956, -122.420841)"
362,Entitled/Approved,1601 Mariposa,1601,Mariposa,"1601 Mariposa St, San Francisco, CA 94107",On-site BMR Project ,Rental,299,299,60,60,0,0,,,11/12/2015,,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1601 Mariposa St
San Francisco, CA 94107
(37.763682, -122.399478)"
132,Completed,Bayshore,2428,Bayshore Blvd.,"2428 Bay Shore Blvd, San Francisco, CA, 94134",Units for Off-site Project,Ownership,12,0,12,0,0,12,680 Illinois and 1635 California ,,01/01/2005,06/30/2006,Visitacion Valley,Visitacion Valley,10,Schlage Lock,"2428 Bay Shore Blvd
San Francisco, CA 94134
(37.710776, -122.404093)"
131,Completed,788 Minna,121,09th Street ,"121 9th St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,18,18,2,2,0,0,,,01/01/2005,07/28/2011,South of Market,South of Market,6,East SoMa (Eastern Neighborhoods),"121 9th St
San Francisco, CA 94103
(37.775847, -122.41425)"
260,Completed,Potrero 1010,1000,16th Street ,"1000 16th St, San Francisco, CA, 94107",On-site BMR Project ,Rental,453,453,91,91,0,0,,,07/28/2011,03/01/2016,Mission Bay,South of Market,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1000 16th St
San Francisco, CA 94107
(37.766423, -122.396899)"
284,Completed,400 Grove,400,Grove Street,"400 Grove St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,34,34,4,4,0,0,,,01/31/2013,10/01/2015,Hayes Valley,Western Addition,5,Market and Octavia,"400 Grove St
San Francisco, CA 94102
(37.777755, -122.423635)"
49,Completed,Tower Plaza,600,Portola Drive,"600 Portola Dr, San Francisco, CA, 94127",On-site BMR Project ,Rental,15,15,2,2,0,0,,,07/06/2000,01/01/2003,West of Twin Peaks,Twin Peaks,7,,"600 Portola Dr
San Francisco, CA 94127
(37.745277, -122.45242)"
