,BP_date,address,aff,affnet,apn,best_date,best_stat,comp_date,con_date,dbi_permit,dropped_out,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified
0,2016-08-10,220 WILLIAMS AV,0.0,0.0,5406016,2017-09-29,CONSTRUCTION,,2017-09-29,201012076279,False,2010-12-07,2010-12-07,2010-12-07,2017-09-29,CONSTRUCTION,"('2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2010-12-07', '2016-08-10', '2016-08-10', '2016-08-10', '2017-09-29')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,1.0,1.0,-122.397605896,37.7302360535,RH-1,RH-1
0,,1049 HOWARD STREET,,,3731074,2008-07-01,CONSTRUCTION,04/01/2012,2008-07-01,200509092473,False,2007-05-17,2008-07-01,2007-05-17,2008-07-01,CONSTRUCTION,"('2008-07-01', '2008-07-01', '2008-07-01', '2008-07-01', '2008-07-01', '2008-07-01', '2008-07-01')",1781.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2012,Under Construction,55.0,25.0,-122.408252,37.778856,MUG,MUG
0,,1028 MARKET ST,0.0,0.0,0350002,2017-01-26,PL APPROVED,,,,False,2014-02-11,2014-04-29,2014-02-11,2017-01-26,PL APPROVED,"('2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2014-04-29', '2017-01-26', '2017-01-26')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED')",2,2017,Proposed,186.0,186.0,-122.4113235474,37.7818832397,C-3-G,C-3-G
0,2010-12-10,2115 TARAVAL ST,0.0,0.0,2394046,2012-12-31,BP ISSUED,,,201007146550,False,2008-07-02,2009-02-24,2008-07-02,2012-12-31,BP ISSUED,"('2009-02-24', '2009-02-24', '2009-02-24', '2010-06-17', '2010-07-14', '2010-12-10', '2010-12-10', '2010-12-10', '2011-08-15', '2011-08-15', '2011-08-15', '2011-08-15', '2011-08-15', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31', '2012-12-31')",,"('PL APPROVED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'BP FILED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,2.0,-122.4888916016,37.7422218323,NC-2,NC-2
0,2017-03-09,3646 16TH ST,0.0,0.0,3561023,2017-07-26,CONSTRUCTION,,2017-07-26,201604154912,False,2016-04-15,2016-04-15,2016-04-15,2017-07-26,CONSTRUCTION,"('2016-04-15', '2016-04-15', '2016-04-15', '2017-03-09', '2017-07-26')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'CONSTRUCTION')",2,2017,Under Construction,3.0,1.0,-122.434211731,37.7644386292,,
0,,360 SPEAR ST (AKA 100 HARRISON ST),0.0,0.0,3745009,2015-11-19,PL FILED,,,,True,2013-10-17,2015-04-03,2013-10-17,2015-11-19,PL FILED,"('2015-04-03', '2015-04-03', '2015-11-19')",,"('PL FILED', 'PL FILED', 'PL FILED')",4,2015,Proposed,0.0,0.0,-122.390114579,37.7889881882,RH DTR,RH DTR
0,2016-09-23,580 DE HARO ST (BLDG 6 OF 7),0.0,0.0,4008003,2016-09-23,BP ISSUED,,,201402269327,True,2014-02-26,2016-09-23,2014-02-26,2016-09-23,BP ISSUED,"('2016-09-23',)",,"('BP ISSUED',)",4,2016,Building Permit Approved,1.0,1.0,-122.401698862,37.7625648001,RH-2,RH-2
0,2016-07-29,1300 FITZGERALD AVE / 1401 EGBERT AVE (BLDG 2 OF 2),0.0,0.0,4912001,2016-11-29,BP ISSUED,,,201409166491,True,2014-06-20,2014-09-16,2014-06-20,2016-11-29,BP ISSUED,"('2014-09-16', '2016-07-29', '2016-11-29')",,"('BP FILED', 'BP APPROVED', 'BP ISSUED')",4,2016,Building Permit Approved,0.0,0.0,-122.3929855,37.7225688324,PDR-2,PDR-2
0,,300 OCTAVIA ST (BP SET 1 OF 2),1.0,1.0,0832025,2016-06-23,PL APPROVED,,,200810013158,True,2015-02-25,2015-05-28,2015-02-25,2016-06-23,PL APPROVED,"('2015-05-28', '2016-06-23', '2016-06-23')",,"('PL FILED', 'PL APPROVED', 'PL APPROVED')",3,2016,Proposed,12.0,12.0,-122.424039971,37.7750995495,NCT,NCT
0,,1767 BEACH ST,0.0,0.0,0443A017,2015-01-30,BP FILED,,,201501307147,True,2015-01-30,2015-01-30,2015-01-30,2015-01-30,BP FILED,"('2015-01-30', '2015-01-30', '2015-01-30', '2015-01-30', '2015-01-30', '2015-01-30', '2015-01-30')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",3,2016,Proposed,3.0,1.0,-122.43835651200001,37.804003397399995,RH-3,RH-3
0,,829 YORK ST,0.0,0.0,4088024,2017-03-02,PL APPROVED,,,201602089074,False,2016-02-08,2016-02-08,2016-02-08,2017-03-02,PL APPROVED,"('2016-02-08', '2016-02-08', '2016-02-08', '2016-02-08', '2016-02-08', '2017-03-02')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL APPROVED')",2,2017,Proposed,3.0,1.0,-122.4084243774,37.7581825256,,
0,2012-10-26,55 05TH ST,,,3705039,2012-12-12,CONSTRUCTION,01/01/2013,2012-12-12,201206202986,False,2012-06-20,2012-06-20,2012-06-20 00:00:00,2012-12-12,CONSTRUCTION,"('2012-06-20', '2012-10-26', '2012-12-12')",195.0,"('BP FILED', 'BP APPROVED', 'CONSTRUCTION')",4,2012,Under Construction,116.0,8.0,-122.4071854,37.78346079999999,C-3-R,C-3-R
0,2016-12-21,1230 21ST AV,0.0,0.0,1730037,2017-08-25,CONSTRUCTION,,2017-08-25,201507313053,False,2015-07-31,2015-07-31,2015-07-31,2017-08-25,CONSTRUCTION,"('2015-07-31', '2015-07-31', '2015-07-31', '2015-07-31', '2015-07-31', '2016-12-21', '2016-12-21', '2017-08-25')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,2.0,1.0,-122.47904205319999,37.7647247314,,
0,2011-03-11,990 GUERRERO ST,0.0,0.0,3618071,2017-03-10,CONSTRUCTION,,2012-02-02,201002035833,False,2010-02-03,2010-02-03,2010-02-03,2017-03-10,CONSTRUCTION,"('2010-02-03', '2010-02-03', '2010-02-03', '2010-02-03', '2011-03-11', '2011-03-11', '2011-03-11', '2012-02-02', '2012-03-01', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2016-08-22', '2016-11-04', '2017-03-10', '2017-03-10')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,3.0,1.0,-122.4235458374,37.7553634644,RH-3,RH-3
0,,1140 FOLSOM STREET,0.0,0.0,3730015,2013-10-16,PL FILED,,,,True,2013-10-16,2013-10-16,2013-10-16,2013-10-16,PL FILED,"('2013-10-16', '2013-10-16', '2013-10-16', '2013-10-16', '2013-10-16', '2013-10-16', '2013-10-16', '2013-10-16')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",3,2015,Proposed,128.0,128.0,-122.408952216,37.7762383802,NCT,NCT
0,,923 - 939 KANSAS ST (BLDG 5 OF 5),0.0,0.0,4094044,2014-07-02,BP FILED,,,201407020333,True,2013-12-19,2014-07-02,2013-12-19,2014-07-02,BP FILED,"('2014-07-02',)",,"('BP FILED',)",4,2016,Proposed,1.0,1.0,-122.402563468,37.7578270207,RH-2,RH-2
0,,1752 CLEMENT ST,,,1415016A,2005-09-29,PL FILED,,,,True,2005-09-29,2005-09-29,2005-09-29,2005-09-29,PL FILED,"('2005-09-29',)",,"('PL FILED',)",3,2009,Proposed,3.0,1.0,-122.47796000000001,37.782458,RM-1,RM-1
0,,439 WASHINGTON ST,,,0206013,,PL FILED,,,,False,2005-09-29,,,,PL FILED,"(nan,)",,"('PL FILED',)",2,2017,Proposed,,,-122.4011154175,37.7955474854,,
0,,1927 GOLDEN GATE AV,,,1158037,2014-03-17,CONSTRUCTION,04/01/2014,2014-03-17,201303293418,False,2013-03-29,2013-03-29,2013-03-29,2014-03-17,CONSTRUCTION,"('2013-03-29', '2013-03-29', '2013-03-29', '2013-03-29', '2014-03-17')",368.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'CONSTRUCTION')",1,2014,Under Construction,2.0,1.0,-122.44236599999999,37.778024,RH-3,RH-3
0,2016-09-12,1601 - 1677 MARIPOSA ST / 485 CAROLINA (BLDG 1 OF 2),60.0,60.0,4006006,2016-09-12,BP ISSUED,,,201603031058,True,2012-11-02,2016-03-03,2012-11-02,2016-09-12,BP ISSUED,"('2016-03-03', '2016-09-12', '2016-09-12')",,"('BP FILED', 'BP ISSUED', 'BP ISSUED')",4,2016,Building Permit Approved,145.0,145.0,-122.399760975,37.763236239899996,UMU,UMU
0,2015-09-22,56 ROCKWOOD CT,0.0,0.0,2936A026,2016-03-25,CONSTRUCTION,04/01/2016,2016-03-25,201505015186,False,2015-05-01,2015-05-01,2015-05-01,2016-03-25,CONSTRUCTION,"('2015-05-01', '2015-09-22', '2015-09-22', '2016-03-25')",336.0,"('BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",1,2016,Under Construction,2.0,1.0,-122.457536,37.7431467256,RH-1(D),RH-1(D)
0,,1115 FITZGERALD AV,0.0,0.0,4938026A,2016-10-19,BP FILED,,,201610190658,False,2016-10-19,2016-10-19,2016-10-19,2016-10-19,BP FILED,"('2016-10-19', '2016-10-19', '2016-10-19')",,"('BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,1.0,-122.38996124270001,37.719909668,,
0,2008-01-25,270 OCEAN AV,0.0,0.0,3211010A,2015-06-26,CONSTRUCTION,01/01/2016,2015-01-30,200607186852,False,2006-07-18,2008-01-25,2006-07-18,2015-06-26,CONSTRUCTION,"('2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2008-01-25', '2013-06-20', '2014-04-15', '2014-04-15', '2015-01-30', '2015-04-09', '2015-06-26', '2015-06-26', '2015-06-26')",3454.0,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,6.0,6.0,-122.442378086,37.7234742977,NC-1,NC-1
0,,650 DIVISADERO ST,0.0,0.0,1202002B,2014-08-26,PL FILED,,,,False,2013-08-01,2014-08-26,2013-08-01,2014-08-26,PL FILED,"('2014-08-26', '2014-08-26', '2014-08-26', '2014-08-26', '2014-08-26', '2014-08-26', '2014-08-26', '2014-08-26', '2014-08-26', '2014-08-26', '2014-08-26', '2014-08-26')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,60.0,60.0,-122.4375915527,37.7757415771,NC-2,NC-2
0,2016-12-01,166 PALO ALTO AV,0.0,0.0,2721075,2017-04-04,BP ISSUED,,,201508275422,False,2015-08-27,2015-08-27,2015-08-27,2017-04-04,BP ISSUED,"('2015-08-27', '2015-08-27', '2015-08-27', '2015-08-27', '2015-08-27', '2016-12-01', '2016-12-01', '2017-04-04')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,1.0,-122.4498062134,37.7570037842,,
0,2010-09-21,1169 STANYAN ST,0.0,0.0,2630018,2017-08-02,CONSTRUCTION,,2017-08-02,200803288288,False,2008-03-28,2008-03-28,2008-03-28,2017-08-02,CONSTRUCTION,"('2008-03-28', '2008-03-28', '2008-03-28', '2008-03-28', '2010-09-21', '2010-09-21', '2010-09-21', '2010-09-21', '2010-09-21', '2010-09-21', '2010-09-21', '2010-09-21', '2010-09-21', '2010-09-21', '2010-09-21', '2010-09-21', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2013-09-25', '2017-08-02')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,2.0,2.0,-122.45255279540001,37.7628746033,RH-2,RH-2
0,,49 SUSSEX ST,0.0,0.0,6729067,2016-09-16,BP FILED,,,201609168034,False,2016-09-16,2016-09-16,2016-09-16,2016-09-16,BP FILED,"('2016-09-16', '2016-09-16', '2016-09-16', '2016-09-16')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,1.0,1.0,-122.43385314940001,37.7365074158,,
0,2016-09-20,2328 NORTH POINT ST,0.0,0.0,0918002E,2016-11-07,BP ISSUED,,,201502269477,False,2015-02-26,2015-02-26,2015-02-26,2016-11-07,BP ISSUED,"('2015-02-26', '2015-02-26', '2015-02-26', '2015-02-26', '2015-02-26', '2015-02-26', '2016-09-20', '2016-11-07', '2016-11-07', '2016-11-07')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,1.0,-1.0,-122.4457015991,37.8027687073,,
0,,3081 22ND ST,,,3638088,2010-01-06,CONSTRUCTION,04/01/2010,2009-09-17,200710316965,False,2007-10-31,2009-09-17,2007-10-31,2010-01-06,CONSTRUCTION,"('2009-09-17', '2009-12-15', '2010-01-06')",883.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2010,Under Construction,3.0,3.0,-122.416133,37.75546,RH-3,RH-3
0,,1749 DOLORES ST,0.0,0.0,6659006,2017-08-21,CONSTRUCTION,,2015-03-27,201312305300,False,2013-12-30,2013-12-30,2013-12-30,2017-08-21,CONSTRUCTION,"('2013-12-30', '2013-12-30', '2013-12-30', '2013-12-30', '2015-03-27', '2015-06-04', '2015-06-18', '2015-10-05', '2015-10-05', '2015-10-05', '2015-10-05', '2015-10-05', '2015-10-05', '2015-10-05', '2017-08-21')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,2.0,1.0,-122.42384338379999,37.741619110100004,RH-2,RH-2
0,,PARKMERCED PHASE I,0.0,0.0,7330001,2015-11-09,BP FILED,,,201511092111,True,2015-11-09,2015-11-09,2015-11-09,2015-11-09,BP FILED,"('2015-11-09',)",,"('BP FILED',)",4,2015,Proposed,313.0,313.0,-122.472043198,37.7137356925,PM-R,PM-R
0,,165 TARA ST,,0.0,6973021,2017-06-01,BP FILED,,,201706018117,False,2017-06-01,2017-06-01,,2017-06-01,BP FILED,"('2017-06-01',)",,"('BP FILED',)",2,2017,Proposed,2.0,1.0,-122.44881439209999,37.7204742432,,
0,,4529 18TH ST,0.0,0.0,2691040,2015-12-08,BP FILED,,,201512084415,False,2015-12-08,2015-12-08,2015-12-08,2015-12-08,BP FILED,"('2015-12-08', '2015-12-08', '2015-12-08', '2015-12-08', '2015-12-08', '2015-12-08', '2015-12-08')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,1.0,-122.4400863647,37.7603263855,,
0,2014-02-05,2882 - 2890 GEARY BL,0.0,0.0,1069045,2014-02-05,BP ISSUED,,,201106027305,False,2011-06-02,2014-02-05,2011-06-02,2014-02-05,BP ISSUED,"('2014-02-05', '2014-02-05', '2014-02-05', '2014-02-05', '2014-02-05', '2014-02-05')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,7.0,2.0,-122.4498672485,37.7823791504,NC-3,NC-3
