,Unnamed: 0,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,project_time_years,geometry,index_right,nhood,zone_class
263,12770,2008-11-04,2105 KEITH ST,4829010,2008-11-04,BP APPROVED,,,200710044644,2006-01-11,2008-11-04,2006-01-11,2008-11-04,BP APPROVED,"('2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04')",,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED')",3,2013,Building Permit Approved,8.0,8.0,-122.390551,37.727957,RH-2,RH-2,,POINT (-122.390551 37.72795700000001),0,Bayview Hunters Point,Conventional Residential
1439,23703,2014-05-23,870 INGERSON AV,4964019,2014-05-23,BP REINSTATED,,,200407027962.0,2004-07-02,2004-07-02,2004-07-02,2014-05-23,BP REINSTATED,"('2004-07-02', '2014-05-23', '2014-05-23', '2014-05-23', '2014-05-23', '2014-05-23', '2014-05-23', '2014-05-23', '2014-05-23')",,"('BP FILED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED')",1,2016,Building Permit Approved,1.0,1.0,-122.390406,37.717930565799996,RH-1,RH-1,,POINT (-122.390406 37.7179305658),0,Bayview Hunters Point,Conventional Residential
708,4445,2010-08-12,1646 MCKINNON AV,5296007,2011-01-12,CONSTRUCTION,2011-01-12,2011-01-12,200807096279,2008-01-17,2008-07-09,2008-01-17,2011-01-12,CONSTRUCTION,"('2008-07-09', '2008-07-09', '2010-08-12', '2011-01-12')",1091.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION')",4,2010,Under Construction,1.0,1.0,-122.390267,37.736569,RH-2,RH-2,2.989041095890411,POINT (-122.390267 37.736569),0,Bayview Hunters Point,Conventional Residential
1901,1967,,1485 VAN DYKE AV,4829011,2005-07-21,BP FILED,,,200507218243,2005-07-21,2005-07-21,2005-07-21,2005-07-21,BP FILED,"('2005-07-21', '2005-07-21', '2005-07-21')",,"('BP FILED', 'BP FILED', 'BP FILED')",1,2010,Proposed,1.0,1.0,-122.390244,37.727749,M-1,M-1,,POINT (-122.390244 37.727749),0,Bayview Hunters Point,Industrial
161,29118,,758 JAMESTOWN AV,4974008,2016-12-28,BP FILED,,,201612286113,2016-12-28,2016-12-28,2016-12-28,2016-12-28,BP FILED,"('2016-12-28', '2016-12-28')",,"('BP FILED', 'BP FILED')",1,2017,Proposed,3.0,3.0,-122.38944127,37.7158869331,RH-1,RH-1,,POINT (-122.38944127 37.7158869331),0,Bayview Hunters Point,Conventional Residential
798,22577,2008-02-08,1060 GILMAN AV,4937014,2010-11-04,BP REINSTATED,,,200610245911.0,2006-10-24,2008-02-08,2006-10-24,2010-11-04,BP REINSTATED,"('2008-02-08', '2008-02-08', '2008-02-08', '2008-02-08', '2008-02-08', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04', '2010-11-04')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED')",1,2016,Building Permit Approved,1.0,1.0,-122.38915,37.719108699,RH-1,RH-1,,POINT (-122.38915 37.719108699),0,Bayview Hunters Point,Conventional Residential
90,27990,,1212 EGBERT AV,4909003,2013-12-31,BP FILED,,,201312315375,2013-12-31,2013-12-31,2013-12-31,2013-12-31,BP FILED,"('2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,2.0,2.0,-122.38900562299999,37.7209163425,RH-1,RH-1,,POINT (-122.389005623 37.7209163425),0,Bayview Hunters Point,Conventional Residential
638,28153,,1466 PALOU AV,5324010,2016-02-23,BP FILED,,,201602230257,2016-02-23,2016-02-23,2016-02-23,2016-02-23,BP FILED,"('2016-02-23', '2016-02-23', '2016-02-23', '2016-02-23', '2016-02-23')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.388199929,37.7327495639,RH-1,RH-1,,POINT (-122.388199929 37.7327495639),0,Bayview Hunters Point,Conventional Residential
507,28579,,2626 GRIFFITH ST,4937017,2016-01-04,BP FILED,,,201601046276,2016-01-04,2016-01-04,2016-01-04,2016-01-04,BP FILED,"('2016-01-04', '2016-01-04', '2016-01-04', '2016-01-04', '2016-01-04')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.388080213,37.718621487,RH-1,RH-1,,POINT (-122.388080213 37.718621487),0,Bayview Hunters Point,Conventional Residential
989,28151,,1465 REVERE AV,4789014,2015-12-11,BP FILED,,,201512114902,2015-12-11,2015-12-11,2015-12-11,2015-12-11,BP FILED,"('2015-12-11', '2015-12-11', '2015-12-11', '2015-12-11', '2015-12-11', '2015-12-11')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.387849389,37.7300509898,RH-2,RH-2,,POINT (-122.387849389 37.7300509898),0,Bayview Hunters Point,Conventional Residential
632,28363,,1824 JENNINGS ST,4790005,2015-11-09,BP FILED,,,201511092165,2015-11-09,2015-11-09,2015-11-09,2015-11-09,BP FILED,"('2015-11-09', '2015-11-09', '2015-11-09', '2015-11-09', '2015-11-09', '2015-11-09')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.387487541,37.7286895613,RH-1,RH-1,,POINT (-122.387487541 37.7286895613),0,Bayview Hunters Point,Conventional Residential
363,5456,2008-01-17,1502 INNES AV,5259002,2010-05-21,CONSTRUCTION,04/01/2011,2010-03-18,200608250538,2006-08-25,2008-01-17,2006-08-25,2010-05-21,CONSTRUCTION,"('2008-01-17', '2008-01-17', '2010-03-18', '2010-05-21', '2010-05-21', '2010-05-21', '2010-05-21')",1680.0,"('BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2011,Under Construction,1.0,1.0,-122.38709,37.738591,RH-1,RH-1,4.602739726027397,POINT (-122.38709 37.738591),0,Bayview Hunters Point,Conventional Residential
1036,14079,2013-05-23,1379 REVERE AV,4788017,2013-08-22,CONSTRUCTION,01/01/2014,2013-08-22,201212136160,2012-12-13,2012-12-13,2012-12-13,2013-08-22,CONSTRUCTION,"('2012-12-13', '2012-12-13', '2013-05-23', '2013-08-22', '2013-08-22')",384.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,1.0,1.0,-122.386192,37.729111,RH-2,RH-2,1.0520547945205478,POINT (-122.386192 37.729111),0,Bayview Hunters Point,Conventional Residential
565,8178,2012-03-23,1382 REVERE AV,4761031,2012-03-23,BP APPROVED,,,201112050109,2011-12-05,2011-12-05,2011-12-05,2012-03-23,BP APPROVED,"('2011-12-05', '2012-03-23')",,"('BP FILED', 'BP APPROVED')",1,2012,Building Permit Approved,1.0,1.0,-122.38589,37.729395,RH-2,RH-2,,POINT (-122.38589 37.729395),0,Bayview Hunters Point,Conventional Residential
1843,26043,,490 JAMESTOWN AV (BLDG 2),5000001,2015-10-27,BP FILED,,,201510270912,2015-10-27,2015-10-27,2015-10-27,2015-10-27,BP FILED,"('2015-10-27', '2015-10-27', '2015-10-27')",,"('BP FILED', 'BP FILED', 'BP FILED')",3,2016,Proposed,63.0,63.0,-122.38510692700001,37.713344022,P,P,,POINT (-122.385106927 37.713344022),0,Bayview Hunters Point,Other
1288,26046,,490 JAMESTOWN AV (BLDG 5),5000001,2015-10-27,BP FILED,,,201510270915,2015-10-27,2015-10-27,2015-10-27,2015-10-27,BP FILED,"('2015-10-27', '2015-10-27', '2015-10-27')",,"('BP FILED', 'BP FILED', 'BP FILED')",3,2016,Proposed,58.0,58.0,-122.38510692700001,37.713344022,P,P,,POINT (-122.385106927 37.713344022),0,Bayview Hunters Point,Other
1700,26045,,490 JAMESTOWN AV (BLDG 4),5000001,2015-10-27,BP FILED,,,201510270914,2015-10-27,2015-10-27,2015-10-27,2015-10-27,BP FILED,"('2015-10-27', '2015-10-27', '2015-10-27')",,"('BP FILED', 'BP FILED', 'BP FILED')",3,2016,Proposed,81.0,81.0,-122.38510692700001,37.713344022,P,P,,POINT (-122.385106927 37.713344022),0,Bayview Hunters Point,Other
269,18789,2014-07-11,1415 HUDSON AV,5258026,2015-03-13,CONSTRUCTION,04/01/2015,2015-03-13,201308235141.0,2013-08-08,2013-08-23,2013-08-08,2015-03-13,CONSTRUCTION,"('2013-08-23', '2013-08-23', '2013-08-23', '2013-08-23', '2014-07-11', '2015-03-13', '2015-03-13')",601.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,1.0,1.0,-122.385012469,37.7378931444,RH-1,RH-1,1.6465753424657534,POINT (-122.385012469 37.7378931444),0,Bayview Hunters Point,Conventional Residential
1830,25679,2015-11-09,2500 ARELIOUS WALKER DR,4884025,2016-09-16,CONSTRUCTION,10/01/2016,2016-06-24,201501236565,2015-01-23,2015-11-09,2015-01-23,2016-09-16,CONSTRUCTION,"('2015-11-09', '2016-06-24', '2016-09-16')",617.0,"('BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",3,2016,Under Construction,122.0,122.0,-122.38493438299999,37.719382641100005,P,P,1.6904109589041096,POINT (-122.384934383 37.7193826411),0,Bayview Hunters Point,Other
1529,25701,2014-08-21,2600 ARELIOUS WALKER DR,4884025,2016-09-16,CONSTRUCTION,10/01/2016,2015-06-01,201401166470,2014-01-16,2014-01-16,2014-01-16,2016-09-16,CONSTRUCTION,"('2014-01-16', '2014-01-16', '2014-08-21', '2014-10-02', '2015-06-01', '2015-07-29', '2015-10-09', '2015-12-31', '2016-03-29', '2016-06-24', '2016-09-16')",989.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2016,Under Construction,93.0,93.0,-122.38493438299999,37.719382641100005,P,P,2.7095890410958905,POINT (-122.384934383 37.7193826411),0,Bayview Hunters Point,Other
547,18745,2014-07-08,1411 HUDSON AV,5258027,2015-03-16,CONSTRUCTION,04/01/2015,2015-03-16,201308235140.0,2013-08-08,2013-08-23,2013-08-08,2015-03-16,CONSTRUCTION,"('2013-08-23', '2013-08-23', '2013-08-23', '2013-08-23', '2014-07-08', '2015-03-16', '2015-03-16')",601.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,1.0,1.0,-122.384928038,37.737845268,RH-1,RH-1,1.6465753424657534,POINT (-122.384928038 37.737845268),0,Bayview Hunters Point,Conventional Residential
1616,28022,,1290 SHAFTER AV,4787012A,2015-11-20,BP FILED,,,201511203280,2015-11-20,2015-11-20,2015-11-20,2015-11-20,BP FILED,"('2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.384762883,37.72791956,RH-1,RH-1,,POINT (-122.384762883 37.72791956),0,Bayview Hunters Point,Conventional Residential
1626,28111,2015-10-05,1375 EVANS AV,5237013,2015-10-05,BP ISSUED,,,201309308119,2013-09-30,2015-10-05,2013-09-30,2015-10-05,BP ISSUED,"('2015-10-05', '2015-10-05', '2015-10-05', '2015-10-05', '2015-10-05')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2017,Building Permit Approved,1.0,1.0,-122.38445161,37.740408274,PDR-2,PDR-2,,POINT (-122.38445161 37.740408274),0,Bayview Hunters Point,Other
114,27972,,1187 PALOU AV,4757014,2015-11-10,BP FILED,,,201511102336,2015-11-10,2015-11-10,2015-11-10,2015-11-10,BP FILED,"('2015-11-10', '2015-11-10', '2015-11-10', '2015-11-10', '2015-11-10', '2015-11-10')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.38334664700001,37.7293857759,RH-1,RH-1,,POINT (-122.383346647 37.7293857759),0,Bayview Hunters Point,Conventional Residential
1361,13834,2010-09-09,63 WEST POINT RD,4624004,2013-04-09,CONSTRUCTION,01/01/2014,2012-02-29,200912223711,2009-12-22,2009-12-22,2009-12-22,2013-04-09,CONSTRUCTION,"('2009-12-22', '2009-12-22', '2009-12-22', '2010-09-09', '2010-09-09', '2010-09-09', '2010-09-09', '2010-09-09', '2010-09-09', '2012-02-29', '2012-07-05', '2012-10-12', '2012-11-13', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09')",1471.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,52.0,52.0,-122.3808161,37.7367345,RH-2,RH-2,4.03013698630137,POINT (-122.3808161 37.7367345),0,Bayview Hunters Point,Conventional Residential
1681,29191,2015-08-27,870 INNES AV,4645017,2015-08-27,BP ISSUED,,,201407302502,2005-01-31,2008-02-05,2005-01-31,2015-08-27,BP ISSUED,"('2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2015-08-27', '2015-08-27', '2015-08-27', '2015-08-27')",,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2017,Building Permit Approved,2.0,2.0,-122.375173227,37.7319682993,NC-2,NC-2,,POINT (-122.375173227 37.7319682993),0,Bayview Hunters Point,Standard Commercial
944,20233,2015-09-21,1 EARL ST,4591D131,2015-09-21,BP ISSUED,,,201412163796.0,2014-12-16,2014-12-16,2014-12-16,2015-09-21,BP ISSUED,"('2014-12-16', '2014-12-16', '2014-12-16', '2015-09-21')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",3,2015,Building Permit Approved,47.0,47.0,-122.374979467,37.727628488200004,HP-RA,HP-RA,,POINT (-122.374979467 37.7276284882),0,Bayview Hunters Point,Other
276,29165,2007-11-06,818 INNES AV,4645002B,2016-05-03,BP FILED,,,201605036396,2004-01-27,2007-11-06,2004-01-27,2016-05-03,BP FILED,"('2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2016-05-03', '2016-05-03', '2016-05-03', '2016-05-03')",,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,3.0,3.0,-122.374045206,37.7313278277,NC-2,NC-2,,POINT (-122.374045206 37.7313278277),0,Bayview Hunters Point,Standard Commercial
1236,20139,,89 KIRKWOOD AV,4591C165,2014-12-11,BP FILED,,,201412113580.0,2014-12-11,2014-12-11,2014-12-11,2014-12-11,BP FILED,"('2014-12-11', '2014-12-11', '2014-12-11', '2014-12-11')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",3,2015,Proposed,18.0,18.0,-122.370962734,37.727138635799996,HP-RA,HP-RA,,POINT (-122.370962734 37.7271386358),0,Bayview Hunters Point,Other
427,21503,,201 DONAHUE ST,4591C093,2015-02-11,CONSTRUCTION,01/01/2016,2013-08-05,200907223200.0,2009-07-22,2013-08-05,2009-07-22,2015-02-11,CONSTRUCTION,"('2013-08-05', '2013-12-05', '2014-03-28', '2014-06-30', '2014-09-30', '2015-02-11', '2015-02-11', '2015-02-11', '2015-02-11', '2015-02-11')",2354.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,25.0,25.0,-122.3701996,37.7283811843,RM-1,RM-1,6.449315068493151,POINT (-122.3701996 37.7283811843),0,Bayview Hunters Point,Industrial
